hdi_rank;country;gii_value;gii_rank;mmr;abr;ssp;ssp_note;edu_female;edu_female_note;edu_male;edu_male_note;edu_diff;labour_female;labour_male;labour_diff;human-development
47;Croatia;0,172;33;17;12,7;23,8;;85;;93,6;;-8,62549;44,8;58,5;-13,7;veryhigh
48;Latvia;0,222;42;34;13,5;23;;98,9;;99;;-0,04102;54,5;67,1;-12,6;veryhigh
49;Argentina;0,381;74;77;54,4;37,7;;57;e;54,9;e;2,10288248;47,3;75;-27,7;veryhigh
50;Uruguay;0,364;70;29;58,3;12,3;;54,4;;50,3;;4,10375;55,5;76,8;-21,3;high
51;The Bahamas;0,316;53;47;28,5;16,7;;91,2;e;87,6;e;3,58205;69,3;79,3;-10;high
51;Montenegro;-1;-1;8;15,2;17,3;;84,2;;94,7;;-10,50383;-1;-1;0;high
53;Belarus;0,152;28;4;20,6;29,5;;87;;92,2;;-5,21284;49,9;62,7;-12,8;high
54;Romania;0,32;54;27;31;11,6;;86,1;;92;;-5,98723;48,5;64,7;-16,2;high
55;Libya;0,215;40;58;2,5;16,5;;55,6;e;44;e;11,62392179;30;76,4;-46,4;high
56;Oman;0,348;64;32;10,6;9,6;;47,2;;57,1;;-9,94361;28,6;81,8;-53,2;high
57;Russia;0,314;52;34;25,7;12,1;;89,6;;92,5;;-2,92154;57;71,4;-14,4;high
58;Bulgaria;0,207;38;11;35,9;24,6;;93;;95,7;;-2,71123;47,8;58,8;-11;high
59;Barbados;0,35;66;51;48,4;21,6;;89,5;e;87,6;e;1,93448276;65,9;76,7;-10,8;high
60;Palau;-1;-1;-1;-1;10,3;;-1;;-1;;0;-1;-1;0;high
61;Antigua and Barbuda;-1;-1;-1;49,3;19,4;;-1;;-1;;0;-1;-1;0;high
62;Malaysia;0,21;39;29;5,7;13,9;;66;e;72,8;e;-6,8;44,3;75,3;-31;high
63;Mauritius;0,375;72;60;30,9;18,8;;49,4;;58;;-8,60923;43,5;74,3;-30,8;high
64;Trinidad and Tobago;0,321;56;46;34,8;26;;59,4;;59,2;;0,13665;52,9;75,5;-22,6;high
65;Lebanon;0,413;80;25;12;3,1;;38,8;;38,9;;-0,09537;22,8;70,5;-47,7;high
65;Panama;0,506;107;92;78,5;8,5;;63,5;e;60,7;e;2,8;49;81,9;-32,9;high
67;Venezuela;0,464;96;92;83,2;17;;56,5;;50,8;;5,6817;50,9;79,2;-28,3;high
68;Costa Rica;0,344;63;40;60,8;38,6;;54,5;e;52,8;e;1,652;46,4;79;-32,6;high
69;Turkey;0,36;69;20;30,9;14,2;;39;;60;;-21,02978;29,4;70,8;-41,4;high
70;Kazakhstan;0,323;59;51;29,9;18,2;;99,3;;99,4;;-0,17876;67,5;77,5;-10;high
71;Mexico;0,376;73;50;63,4;36;;55,7;;60,6;;-4,98619;45;80;-35;high
71;Seychelles;-1;-1;-1;56,3;43,8;;66,9;;66,6;;0,30778;-1;-1;0;high
73;Saint Kitts and Nevis;-1;-1;-1;-1;6,7;;-1;;-1;;0;-1;-1;0;high
73;Sri Lanka;0,383;75;35;16,9;5,8;;72,7;;75,5;;-2,79343;35;76,4;-41,4;high
75;Iran;0,51;109;21;31,6;3,1;;62,2;;67,6;;-5,45366;16,4;73,1;-56,7;high
76;Azerbaijan;0,34;62;43;40;16;;93,7;;97,4;;-3,67493;62,5;68,9;-6,4;high
77;Jordan;0,488;101;63;26,5;12;;69,5;;78,5;;-9,01616;15,3;66,2;-50,9;high
77;Republic of Serbia;-1;-1;12;16,9;33,2;;58,4;;73,6;;-15,13558;-1;-1;0;high
79;Brazil;0,441;85;56;70,8;9,6;;51,9;;49;;2,9;59,5;80,9;-21,4;high
79;Georgia;-1;-1;67;46,8;12;;-1;;-1;;0;56,2;74,7;-18,5;high
79;Grenada;-1;-1;24;35,4;25;;-1;;-1;;0;-1;-1;0;high
82;Peru;0,387;77;67;50,7;21,5;;56,3;;66,1;;-9,77528;68;84,4;-16,4;high
83;Ukraine;0,326;61;32;25,7;9,4;;91,5;e;96,1;e;-4,60924461;53;66,6;-13,6;high
84;Belize;0,435;84;53;71,4;13,3;;35,2;e;32,8;e;2,38235294;49,1;82,3;-33,2;high
84;Macedonia;0,162;31;10;18,3;34,1;;40,2;;55,6;;-15,44095;42,9;67,3;-24,4;high
86;Bosnia and Herzegovina;0,201;36;8;15,1;19,3;;44,8;;70;;-25,2;34,1;57,2;-23,1;high
87;Armenia;0,325;60;30;27,1;10,7;;94,1;e;94,8;e;-0,69678616;51,6;73,4;-21,8;high
88;Fiji;-1;-1;26;42,8;-1;;57,5;;58,1;;-0,60173;37,5;72;-34,5;high
